discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,643.1917529414176
"1.5% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,650.706464501186
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,452.75878528406656
"2.0% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,572.3768129504776
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,316.0757678899432
"2.5% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,529.246516436288
3.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,222.9691647017777
"3.0% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,499.8019243680747
