discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,439.57651392063974
"1.5% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,445.9861698212329
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,276.31235011859934
"2.0% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,370.1047970601367
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,173.62000896253423
"2.5% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,329.56321476438694
3.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,111.68945279962439
"3.0% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,303.07439106251684
