discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,550.910308433465
"1.5% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,558.0994158026316
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,370.44227159963816
"2.0% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,481.06829520197886
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,247.8370058546309
"2.5% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,439.48580558319
3.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,168.6188383508049
"3.0% Ramsey, 0 rho",risk_aversion,combined,0.5,euler_ramsey,0,411.82413931479954
