"sector","discount_rate","scghg"
"slr","2.5% Ramsey",1
"total","2.5% Ramsey",145
"agriculture","3.0% Ramsey",48
"slr","3.0% Ramsey",1
"cromar_mortality","3.0% Ramsey",47
"cromar_mortality","2.0% Ramsey",104
"total","1.5% Ramsey, 0 rho",353
"energy","1.5% Ramsey, 0 rho",18
"total","1.5% Ramsey",348
"agriculture","2.0% Ramsey, 0 rho",128
"total","2.5% Ramsey, 0 rho",238
"slr","1.5% Ramsey, 0 rho",3
"agriculture","3.0% Ramsey, 0 rho",107
"energy","2.5% Ramsey, 0 rho",11
"cromar_mortality","2.0% Ramsey, 0 rho",131
"agriculture","1.5% Ramsey, 0 rho",156
"agriculture","2.5% Ramsey",69
"energy","3.0% Ramsey",4
"total","3.0% Ramsey, 0 rho",217
"cromar_mortality","1.5% Ramsey",173
"energy","2.5% Ramsey",6
"energy","1.5% Ramsey",17
"slr","2.0% Ramsey, 0 rho",3
"slr","2.5% Ramsey, 0 rho",3
"slr","3.0% Ramsey, 0 rho",3
"slr","1.5% Ramsey",3
"energy","2.0% Ramsey, 0 rho",13
"total","2.0% Ramsey, 0 rho",275
"agriculture","2.0% Ramsey",102
"cromar_mortality","2.5% Ramsey",68
"cromar_mortality","1.5% Ramsey, 0 rho",176
"energy","2.0% Ramsey",10
"agriculture","2.5% Ramsey, 0 rho",114
"slr","2.0% Ramsey",2
"cromar_mortality","2.5% Ramsey, 0 rho",111
"total","2.0% Ramsey",218
"total","3.0% Ramsey",101
"cromar_mortality","3.0% Ramsey, 0 rho",98
"agriculture","1.5% Ramsey",154
"energy","3.0% Ramsey, 0 rho",9
