"sector","discount_rate","scghg"
"slr","2.5% Ramsey",2
"total","2.5% Ramsey",170
"agriculture","3.0% Ramsey",60
"slr","3.0% Ramsey",1
"cromar_mortality","3.0% Ramsey",56
"cromar_mortality","2.0% Ramsey",118
"total","1.5% Ramsey, 0 rho",392
"energy","1.5% Ramsey, 0 rho",19
"total","1.5% Ramsey",388
"agriculture","2.0% Ramsey, 0 rho",147
"total","2.5% Ramsey, 0 rho",273
"slr","1.5% Ramsey, 0 rho",3
"agriculture","3.0% Ramsey, 0 rho",125
"energy","2.5% Ramsey, 0 rho",12
"cromar_mortality","2.0% Ramsey, 0 rho",147
"agriculture","1.5% Ramsey, 0 rho",175
"agriculture","2.5% Ramsey",83
"energy","3.0% Ramsey",5
"total","3.0% Ramsey, 0 rho",252
"cromar_mortality","1.5% Ramsey",192
"energy","2.5% Ramsey",7
"energy","1.5% Ramsey",19
"slr","2.0% Ramsey, 0 rho",3
"slr","2.5% Ramsey, 0 rho",3
"slr","3.0% Ramsey, 0 rho",3
"slr","1.5% Ramsey",3
"energy","2.0% Ramsey, 0 rho",14
"total","2.0% Ramsey, 0 rho",311
"agriculture","2.0% Ramsey",118
"cromar_mortality","2.5% Ramsey",79
"cromar_mortality","1.5% Ramsey, 0 rho",194
"energy","2.0% Ramsey",11
"agriculture","2.5% Ramsey, 0 rho",133
"slr","2.0% Ramsey",2
"cromar_mortality","2.5% Ramsey, 0 rho",125
"total","2.0% Ramsey",250
"total","3.0% Ramsey",122
"cromar_mortality","3.0% Ramsey, 0 rho",112
"agriculture","1.5% Ramsey",173
"energy","3.0% Ramsey, 0 rho",11
