"sector","discount_rate","scghg"
"slr","2.5% Ramsey",2
"total","2.5% Ramsey",221
"agriculture","3.0% Ramsey",82
"slr","3.0% Ramsey",1
"cromar_mortality","3.0% Ramsey",73
"cromar_mortality","2.0% Ramsey",147
"total","1.5% Ramsey, 0 rho",468
"energy","1.5% Ramsey, 0 rho",24
"total","1.5% Ramsey",464
"agriculture","2.0% Ramsey, 0 rho",181
"total","2.5% Ramsey, 0 rho",341
"slr","1.5% Ramsey, 0 rho",4
"agriculture","3.0% Ramsey, 0 rho",161
"energy","2.5% Ramsey, 0 rho",15
"cromar_mortality","2.0% Ramsey, 0 rho",179
"agriculture","1.5% Ramsey, 0 rho",210
"agriculture","2.5% Ramsey",109
"energy","3.0% Ramsey",7
"total","3.0% Ramsey, 0 rho",319
"cromar_mortality","1.5% Ramsey",229
"energy","2.5% Ramsey",10
"energy","1.5% Ramsey",23
"slr","2.0% Ramsey, 0 rho",3
"slr","2.5% Ramsey, 0 rho",3
"slr","3.0% Ramsey, 0 rho",4
"slr","1.5% Ramsey",4
"energy","2.0% Ramsey, 0 rho",18
"total","2.0% Ramsey, 0 rho",382
"agriculture","2.0% Ramsey",149
"cromar_mortality","2.5% Ramsey",101
"cromar_mortality","1.5% Ramsey, 0 rho",231
"energy","2.0% Ramsey",14
"agriculture","2.5% Ramsey, 0 rho",167
"slr","2.0% Ramsey",3
"cromar_mortality","2.5% Ramsey, 0 rho",155
"total","2.0% Ramsey",313
"total","3.0% Ramsey",163
"cromar_mortality","3.0% Ramsey, 0 rho",140
"agriculture","1.5% Ramsey",208
"energy","3.0% Ramsey, 0 rho",14
