"sector","discount_rate","scghg"
"slr","2.5% Ramsey",1
"total","2.5% Ramsey",118
"agriculture","3.0% Ramsey",36
"slr","3.0% Ramsey",1
"cromar_mortality","3.0% Ramsey",39
"cromar_mortality","2.0% Ramsey",90
"total","1.5% Ramsey, 0 rho",310
"energy","1.5% Ramsey, 0 rho",16
"total","1.5% Ramsey",306
"agriculture","2.0% Ramsey, 0 rho",108
"total","2.5% Ramsey, 0 rho",201
"slr","1.5% Ramsey, 0 rho",3
"agriculture","3.0% Ramsey, 0 rho",87
"energy","2.5% Ramsey, 0 rho",9
"cromar_mortality","2.0% Ramsey, 0 rho",114
"agriculture","1.5% Ramsey, 0 rho",136
"agriculture","2.5% Ramsey",54
"energy","3.0% Ramsey",3
"total","3.0% Ramsey, 0 rho",181
"cromar_mortality","1.5% Ramsey",154
"energy","2.5% Ramsey",5
"energy","1.5% Ramsey",15
"slr","2.0% Ramsey, 0 rho",3
"slr","2.5% Ramsey, 0 rho",2
"slr","3.0% Ramsey, 0 rho",2
"slr","1.5% Ramsey",3
"energy","2.0% Ramsey, 0 rho",11
"total","2.0% Ramsey, 0 rho",236
"agriculture","2.0% Ramsey",84
"cromar_mortality","2.5% Ramsey",57
"cromar_mortality","1.5% Ramsey, 0 rho",156
"energy","2.0% Ramsey",9
"agriculture","2.5% Ramsey, 0 rho",94
"slr","2.0% Ramsey",2
"cromar_mortality","2.5% Ramsey, 0 rho",95
"total","2.0% Ramsey",184
"total","3.0% Ramsey",80
"cromar_mortality","3.0% Ramsey, 0 rho",84
"agriculture","1.5% Ramsey",134
"energy","3.0% Ramsey, 0 rho",8
