"sector","discount_rate","scghg"
"total","2.5% Ramsey",278
"total","1.5% Ramsey, 0 rho",650
"total","3.0% Ramsey, 0 rho",392
"total","1.5% Ramsey",644
"total","2.5% Ramsey, 0 rho",432
"total","2.0% Ramsey",410
"total","3.0% Ramsey",197
"total","2.0% Ramsey, 0 rho",502
