"sector","discount_rate","scghg"
"total","2.5% Ramsey",253
"total","1.5% Ramsey, 0 rho",611
"total","3.0% Ramsey, 0 rho",363
"total","1.5% Ramsey",605
"total","2.5% Ramsey, 0 rho",402
"total","2.0% Ramsey",379
"total","3.0% Ramsey",177
"total","2.0% Ramsey, 0 rho",469
