"sector","discount_rate","scghg"
"total","2.5% Ramsey",147
"total","1.5% Ramsey, 0 rho",420
"total","3.0% Ramsey, 0 rho",225
"total","1.5% Ramsey",414
"total","2.5% Ramsey, 0 rho",255
"total","2.0% Ramsey",237
"total","3.0% Ramsey",97
"total","2.0% Ramsey, 0 rho",307
