"sector","discount_rate","scghg"
"total","2.5% Ramsey",172
"total","1.5% Ramsey, 0 rho",467
"total","3.0% Ramsey, 0 rho",260
"total","1.5% Ramsey",461
"total","2.5% Ramsey, 0 rho",292
"total","2.0% Ramsey",272
"total","3.0% Ramsey",116
"total","2.0% Ramsey, 0 rho",348
