"sector","discount_rate","scghg"
"total","2.5% Ramsey",202
"total","1.5% Ramsey, 0 rho",522
"total","3.0% Ramsey, 0 rho",301
"total","1.5% Ramsey",516
"total","2.5% Ramsey, 0 rho",335
"total","2.0% Ramsey",312
"total","3.0% Ramsey",139
"total","2.0% Ramsey, 0 rho",395
