"sector","discount_rate","scghg"
"total","2.5% Ramsey",121
"total","1.5% Ramsey, 0 rho",371
"total","3.0% Ramsey, 0 rho",189
"total","1.5% Ramsey",366
"total","2.5% Ramsey, 0 rho",217
"total","2.0% Ramsey",202
"total","3.0% Ramsey",79
"total","2.0% Ramsey, 0 rho",265
