"sector","discount_rate","scghg"
"total","2.5% Ramsey",230
"total","1.5% Ramsey, 0 rho",571
"total","3.0% Ramsey, 0 rho",337
"total","1.5% Ramsey",565
"total","2.5% Ramsey, 0 rho",373
"total","2.0% Ramsey",349
"total","3.0% Ramsey",160
"total","2.0% Ramsey, 0 rho",437
